Lô H?,Mã t?nh,Tr?m,??i tác thi công,TT ph? trách
8919,8919,8919,8919,8919
7435,BGG,BGG0010,Royal,TTKV1
7435,BGG,BGG0028,Royal,TTKV1
7435,BGG,BGG0030,Royal,TTKV1
7435,BGG,BGG0033,Royal,TTKV1
7435,BGG,BGG0067,Royal,TTKV1
7435,BGG,BGG0075,Royal,TTKV1
7435,BGG,BGG0080,Royal,TTKV1
7435,BGG,BGG0085,Royal,TTKV1
7435,BGG,BGG0088,Royal,TTKV1
7435,BGG,BGG0102,Royal,TTKV1
7435,BGG,BGG0107,Royal,TTKV1
7435,BGG,BGG0108,Royal,TTKV1
7435,BGG,BGG0121,Royal,TTKV1
7435,BGG,BGG0130,Royal,TTKV1
7435,BGG,BGG0136,Royal,TTKV1
7435,BGG,BGG0139,Royal,TTKV1
7435,BGG,BGG0143,Royal,TTKV1
7435,BGG,BGG0144,Royal,TTKV1
7435,BGG,BGG0147,Royal,TTKV1
7435,BGG,BGG0150,Royal,TTKV1
7435,BGG,BGG0152,Royal,TTKV1
7435,BGG,BGG0153,Royal,TTKV1
7435,BGG,BGG0154,Royal,TTKV1
7435,BGG,BGG0155,Royal,TTKV1
7435,BGG,BGG0156,Royal,TTKV1
7435,BGG,BGG0158,Royal,TTKV1
7435,BGG,BGG0159,Royal,TTKV1
7435,BGG,BGG0160,Royal,TTKV1
7435,BGG,BGG0162,Royal,TTKV1
7435,BGG,BGG0169,Royal,TTKV1
7435,BGG,BGG0171,Royal,TTKV1
7435,BGG,BGG0172,Royal,TTKV1
7435,BGG,BGG0180,Royal,TTKV1
7435,BGG,BGG0181,Royal,TTKV1
7435,BGG,BGG0182,Royal,TTKV1
7435,BGG,BGG0186,Royal,TTKV1
7435,BGG,BGG0189,Royal,TTKV1
7435,BGG,BGG0197,Royal,TTKV1
7435,BGG,BGG0202,Royal,TTKV1
7435,BGG,BGG0208,Royal,TTKV1
7435,BGG,BGG0209,Royal,TTKV1
7435,BGG,BGG0212,Royal,TTKV1
7435,BGG,BGG0215,Royal,TTKV1
7435,BGG,BGG0224,Royal,TTKV1
7435,BGG,BGG0245,Royal,TTKV1
7435,BGG,BGG0252,Royal,TTKV1
7435,BGG,BGG0259,Royal,TTKV1
7435,BGG,BGG0278,Royal,TTKV1
7435,BGG,BGG0283,Royal,TTKV1
7435,BGG,BGG0294,Royal,TTKV1
7435,BGG,BGG0314,Royal,TTKV1
7435,BGG,BGG0315,Royal,TTKV1
7435,BGG,BGG0318,Royal,TTKV1
7435,BGG,BGG0320,Royal,TTKV1
7435,BGG,BGG0324,Royal,TTKV1
7435,BGG,BGG0326,Royal,TTKV1
7435,BGG,BGG0329,Royal,TTKV1
7435,BGG,BGG0335,Royal,TTKV1
7435,BGG,BGG0354,Royal,TTKV1
7435,BGG,BGG0356,Royal,TTKV1
7435,BGG,BGG0357,Royal,TTKV1
7435,BGG,BGG0359,Royal,TTKV1
7435,BGG,BGG0362,Royal,TTKV1
7435,BGG,BGG0370,Royal,TTKV1
7435,BGG,BGG0373,Royal,TTKV1
7435,BGG,BGG0377,Royal,TTKV1
7435,BGG,BGG0382,Royal,TTKV1
7435,BGG,BGG0385,Royal,TTKV1
7435,BGG,BGG0386,Royal,TTKV1
7435,BGG,BGG0393,Royal,TTKV1
7435,BGG,BGG0396,Royal,TTKV1
7435,BGG,BGG0426,Royal,TTKV1
7435,BGG,BGG0430,Royal,TTKV1
7435,BGG,BGG0431,Royal,TTKV1
7435,BGG,BGG0435,Royal,TTKV1
7435,BGG,BGG0440,Royal,TTKV1
7435,BGG,BGG0441,Royal,TTKV1
7435,BGG,BGG0442,Royal,TTKV1
7435,BGG,BGG0446,Royal,TTKV1
7435,BGG,BGG0447,Royal,TTKV1
7435,BGG,BGG0449,Royal,TTKV1
7435,BGG,BGG0456,Royal,TTKV1
7435,BGG,BGG0461,Royal,TTKV1
7435,BGG,BGG0470,Royal,TTKV1
7435,BGG,BGG0475,Royal,TTKV1
7435,BGG,BGG0476,Royal,TTKV1
7435,BGG,BGG0479,Royal,TTKV1
7435,BGG,BGG0492,Royal,TTKV1
7435,BGG,BGG0502,Royal,TTKV1
7435,BGG,BGG0504,Royal,TTKV1
7435,BGG,BGG0506,Royal,TTKV1
7435,BGG,BGG0518,Royal,TTKV1
7435,BGG,BGG0521,Royal,TTKV1
7435,BGG,BGG0526,Royal,TTKV1
7435,BGG,BGG0527,Royal,TTKV1
7435,BGG,BGG0535,Royal,TTKV1
7435,BGG,BGG0540,Royal,TTKV1
7435,BGG,BGG0542,Royal,TTKV1
7435,BGG,BGG0552,Royal,TTKV1
7435,BGG,BGG0591,Royal,TTKV1
7435,BGG,BGG0599,Royal,TTKV1
7435,BGG,BGG0601,Royal,TTKV1
7435,BGG,BGG0602,Royal,TTKV1
7435,BGG,BGG0606,Royal,TTKV1
7435,BGG,BGG0614,Royal,TTKV1
7435,BGG,BGG0617,Royal,TTKV1
7435,BGG,BGG0627,Royal,TTKV1
7435,BGG,BGG0638,Royal,TTKV1
7435,BGG,BGG0641,Royal,TTKV1
7435,BGG,BGG0649,Royal,TTKV1
7435,BGG,BGG0663,Royal,TTKV1
7435,BGG,BGG0666,Royal,TTKV1
7435,BGG,BGG0667,Royal,TTKV1
7435,BGG,BGG0668,Royal,TTKV1
7435,BGG,BGG0671,Royal,TTKV1
7435,BGG,BGG0674,Royal,TTKV1
7435,BGG,BGG0693,Royal,TTKV1
7435,BGG,BGG0702,Royal,TTKV1
7435,BGG,BGG0703,Royal,TTKV1
7435,BGG,BGG0705,Royal,TTKV1
7435,BGG,BGG0713,Royal,TTKV1
7435,BGG,BGG0720,Royal,TTKV1
7435,BGG,BGG0724,Royal,TTKV1
7435,BGG,BGG0743,Royal,TTKV1
7435,BGG,BGG0770,Royal,TTKV1
7435,BGG,BGG0771,Royal,TTKV1
7435,BGG,BGG0812-11,Royal,TTKV1
7435,BGG,BGG0816,Royal,TTKV1
7435,BGG,BGG0833,Royal,TTKV1
7435,BGG,BGG0941,Royal,TTKV1
